smiles,jnk3
Clc1ccc(C2CC(c3ccccc3)Nc3ncnn32)cc1,0
CCc1ccc(C2CC(c3ccccc3Cl)Nc3nc(N)nn32)cc1,0
c1ccc(C2CC(c3ccccc3)n3ncnc3N2)cc1,0
Cc1ccc(C2CC(c3cccc(C)c3)n3nc(N)nc3N2)cc1,0
CCOc1ccc(C2CC(c3ccc(CC)cc3)n3nc(N)nc3N2)cc1,0
COc1cccc(C2CC(c3ccccc3Cl)Nc3ncnn32)c1,0
COCC(=O)Nc1nc2n(n1)C(c1ccccc1Cl)CC(c1ccc(OC)cc1)N2,0
COc1ccccc1C1CC(c2ccc(Cl)cc2Cl)Nc2nc(N)nn21,0
CCOc1ccc(C2CC(c3cccc(Cl)c3)n3nc(N)nc3N2)cc1,0
COc1ccc(C2CC(c3ccc(Cl)cc3)n3nc(N)nc3N2)cc1,0
COc1ccc(C2CC(c3cccc(Cl)c3)n3nc(N)nc3N2)cc1,0
COc1ccc(C2CC(c3ccccc3C)n3nc(N)nc3N2)cc1,0
CCc1ccc(C2CC(c3ccccc3C)n3nc(N)nc3N2)cc1,0
CCOc1ccc(C2CC(c3cccc(OC)c3)Nc3nc(N)nn32)cc1,0
CCOc1ccc(C2CC(c3ccc(OC)cc3)n3ncnc3N2)cc1,0
Cc1cccc(C2CC(c3ccc(Cl)cc3)Nc3nc(N)nn32)c1,0
Fc1ccc(C2CC(c3ccc(F)cc3)n3ncnc3N2)cc1,0
Nc1nc2n(n1)C(c1cccc(Br)c1)CC(c1ccc(F)cc1)N2,0
Cc1cccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)c1,0
COc1ccc(C2CC(c3ccc(Cl)c(Cl)c3)Nc3nc(N)nn32)cc1,0
Nc1nc2n(n1)C(c1ccccc1)CC(c1ccc(F)cc1)N2,0
COc1ccc(C2CC(c3ccccc3Cl)Nc3ncnn32)cc1OC,0
Cc1ccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)cc1,0
Cc1ccc(C2CC(c3ccccc3OC(F)F)Nc3ncnn32)cc1,0
COc1ccc(C2CC(c3ccc(Cl)cc3Cl)Nc3nc(N)nn32)cc1,0
COc1cccc(C2CC(c3ccc(Cl)cc3Cl)n3nc(N)nc3N2)c1,0
Nc1nc2n(n1)C(c1ccccc1Cl)CC(c1ccc(F)cc1)N2,0
Cc1cccc(C2CC(c3ccc(F)cc3)Nc3ncnn32)c1,0
Cc1ccc(C2CC(c3ccccc3)n3ncnc3N2)cc1,0
COc1ccc(C2CC(c3c(Cl)cccc3Cl)n3nc(N)nc3N2)cc1,0
Cc1ccc(C2CC(c3ccc(Cl)cc3)n3nc(N)nc3N2)cc1,0
Nc1nc2n(n1)C(c1c(F)cccc1Cl)CC(c1ccc(F)cc1)N2,0
CCOc1ccc(C2CC(c3cccc(OC)c3)n3nc(N)nc3N2)cc1,0
COc1ccc(C2CC(c3ccc(OC)cc3)n3nc(N)nc3N2)cc1,0
CCOc1ccc(C2CC(c3ccc(OC)c(OC)c3)n3nc(N)nc3N2)cc1,0
Cc1ccc(C2CC(c3ccccc3Cl)n3nc(N)nc3N2)cc1,0
Cc1ccc(C2CC(c3ccc(C)cc3)n3nc(N)nc3N2)cc1,0
COc1ccccc1C1CC(c2ccc(Cl)cc2)Nc2nc(N)nn21,0
COc1cccc(C2CC(c3ccccc3)Nc3nc(N)nn32)c1,0
Cc1cccc(C2CC(c3ccccc3)Nc3nc(N)nn32)c1,0
COc1cccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)c1,0
COc1ccccc1C1CC(c2ccc(F)cc2)Nc2ncnn21,0
COc1ccc(C2CC(c3ccc(Br)cc3)Nc3nc(N)nn32)cc1,0
CCOc1ccc(C2CC(c3ccccc3)Nc3nc(N)nn32)cc1,0
Clc1ccccc1C1CC(c2ccccc2)Nc2ncnn21,0
COc1cccc(C2CC(c3cccc(Br)c3)n3nc(N)nc3N2)c1,0
CCOc1ccccc1C1CC(c2ccccc2)Nc2nc(N)nn21,0
COc1ccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)cc1OC,0
COc1cccc(C2CC(c3ccc(C)cc3)Nc3nc(N)nn32)c1,0
Cc1ccc(C2CC(c3cccc(C)c3)n3ncnc3N2)cc1,0
Nc1nc2n(n1)C(c1ccc(F)cc1)CC(c1ccc(F)cc1)N2,0
CCOc1ccc(C2CC(c3ccc(Br)cc3)Nc3nc(N)nn32)cc1,0
COc1cccc(C2CC(c3ccccc3Cl)n3ncnc3N2)c1,0
CCc1ccc(C2CC(c3ccc(C)cc3)Nc3nc(N)nn32)cc1,0
CCOc1ccc(C2CC(c3ccc(F)cc3)n3ncnc3N2)cc1,0
COc1cccc(C2CC(c3ccccc3Cl)n3nc(N)nc3N2)c1,0
COc1ccc(C2CC(c3ccc(C)cc3)Nc3nc(N)nn32)cc1,0
CCOc1ccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)cc1,0
COc1ccc(C2CC(c3cccc(C)c3)n3nc(N)nc3N2)cc1,0
COc1ccc(C2CC(c3ccc(Cl)cc3Cl)n3nc(N)nc3N2)cc1,0
