smiles,jnk3
CCn1c(S)nnc1-c1ccc(F)cc1,0
CCCn1c(S)nnc1-c1ccc(F)cc1,0
CC(C)CCNC(=O)NC(=O)CSc1nnc(-c2ccccc2F)n1N,0
C=CCn1c(SCC(=O)O)nnc1-c1ccc(C(C)(C)C)cc1,0
COCCn1c(SCC#N)nnc1-c1ccccc1O,0
CSc1nnc(-c2ccccc2Cl)n1N,0
CCn1c(S)nnc1-c1cccc(Cl)c1,0
CSc1nnc(-c2ccc(O)cc2)n1C,0
CCOC(=O)CSc1nnc(-c2cccc(Cl)c2)n1CC,0
COCCn1c(SCC(=O)OC(C)C)nnc1-c1ccccc1,0
C=CCn1c(SCC(=O)NCC(=O)OCC)nnc1-c1cccc(OC)c1,0
COCCCn1c(SCC(=O)NC(C)C)nnc1-c1ccccc1,0
CCn1c(S)nnc1-c1cccc(Br)c1,0
Cc1ccc(-c2nnc(SCC(=O)O)n2N)cc1,0
CC(C)(C)c1ccc(-c2nnc(SCC(=O)O)n2N)cc1,0
CC(C)Cn1c(S)nnc1-c1ccc(F)cc1,0
COCCn1c(S)nnc1-c1ccccc1F,0
COc1ccc(-c2nnc(SCCC(=O)O)n2C)cc1OC,0
C=CCn1c(S)nnc1-c1cccc(Cl)c1,0
COCCn1c(SCC#N)nnc1-c1ccccc1,0
Cn1c(S)nnc1-c1ccc(C(C)(C)C)cc1,0
CCn1c(SCC(=O)OC(C)C)nnc1-c1cccc(Cl)c1,0
CC(C)NC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1C,0
C=CCn1c(S)nnc1-c1cc(OC)cc(OC)c1,0
CC(C)Cn1c(S)nnc1-c1ccccc1F,0
C=CCn1c(SCC(N)=O)nnc1-c1ccccc1O,0
C=CCn1c(SCC(N)=O)nnc1-c1cc(Br)ccc1O,0
Cn1c(SCC(=O)NC(C)(C)C)nnc1-c1ccc(C(C)(C)C)cc1,0
CCn1c(SCC(=O)O)nnc1-c1ccccc1,0
C=CCn1c(S)nnc1-c1ccc(OC)c(OC)c1,0
CCC(C)NC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1C,0
COCCCn1c(SCC(=O)NC(C)(C)C)nnc1-c1ccccc1,0
COCCCn1c(SCC(N)=O)nnc1-c1ccccc1,0
CSc1nnc(-c2ccccc2)n1N,0
COCCCn1c(SCC(=O)N(C)C)nnc1-c1ccccc1,0
C=CCn1c(SCC(N)=O)nnc1-c1cccc(Br)c1,0
COc1ccccc1-c1nnc(SCC(=O)O)n1C,0
CCn1c(S)nnc1-c1cc(OC)c(OC)c(OC)c1,0
C=CCn1c(SCC(=O)O)nnc1-c1cccc(Cl)c1,0
CCOC(=O)CNC(=O)CSc1nnc(-c2cccc(OC)c2)n1CC,0
COn1cnnc1-c1ccccc1,0
C=C(C)CSc1nnc(-c2ccccc2)n1N,0
CCn1c(S)nnc1-c1cc(Br)ccc1O,0
CCn1c(S)nnc1-c1ccccc1O,0
COCCSc1nnc(-c2cccc(C#N)c2)n1C,0
CCCCSc1nnc(-c2ccc(NC(=O)CC)cc2)n1C,0
C=CCn1c(S)nnc1-c1ccccc1,0
CCOC(=O)CNC(=O)CSc1nnc(-c2ccccc2OC)n1CC,0
COc1ccc(-c2nnc(SCC(N)=O)n2N)cc1,0
CCN(CC)C(=O)CSc1nnc(-c2ccc(F)cc2)n1N,0
COc1cccc(-c2nnc(SCCC(=O)O)n2C)c1,0
CCOC(=O)CSc1nnc(-c2ccc(OC)cc2)n1CC,0
CC(Sc1nnc(-c2ccc(Cl)cc2)n1C)C(N)=O,0
CCn1c(SCC(=O)C(C)(C)C)nnc1-c1ccccc1OC,0
CC(C)OC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1N,0
Cc1ccc(-c2nnc(S)n2C)cc1,0
Cn1c(SCC(N)=O)nnc1-c1ccccc1,0
CSc1nnc(-c2ccccc2)n1C,0
CCCCSc1nnc(-c2ccc(NC(C)=O)cc2)n1C,0
Cc1ccc(-c2nnc(SCC#N)n2N)cc1,0
COCCCn1c(S)nnc1-c1ccccc1Cl,0
Nn1c(S)nnc1-c1cccc(Br)c1,0
CCn1c(SCC(N)=O)nnc1-c1ccc(OC)c(OC)c1,0
CCn1c(S)nnc1-c1ccc(C(C)(C)C)cc1,0
CC(C)OC(=O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1N,0
COc1cccc(-c2nnc(SCC(=O)OC(C)C)n2N)c1,0
CCCN(CCC)C(=O)CSc1nnc(-c2ccccc2)n1N,0
COc1ccc(-c2nnc(SC)n2C)cc1,0
