logp,smiles
2.797035633,O=C(NC1=CC=CC=C1F)C1=CC=CC=C1
0.7267370879999999,C[C@H]([NH3+])C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1
1.70673413,NC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1
3.10396102,COC1=CC=C(NC(=O)C2=CC=C(Br)C=C2)C=C1
2.872865238,O=C(NC1=CC=C(I)C=C1)C1=CC=CC(I)=C1
2.910967686,CCN(C(=O)C1=CC=CC=C1Br)C1=CC=CC=C1
3.3233535819999998,CCC1=CC=C(NC(=O)C2=CC=CC=C2Br)C=C1
3.029838617,COC1=CC=CC=C1C(=O)NC1=CC=C(Cl)C=C1
2.687170918,COC1=CC=CC=C1NC(=O)C1=CC=C(F)C=C1
2.228280254,O=C(NC1=CC=CC(I)=C1)C1=CC=C(CO)C=C1
3.0238733260000004,COC1=CC=CC(NC(=O)C2=CC=C(Br)C=C2)=C1
3.209878315,CSC1=CC=C(NC(=O)C2=CC=CC=C2Br)C=C1
2.946826999,CC1=CC=CC(C)=C1NC(=O)C1=CC=C(F)C=C1
2.990056167,CCOC1=CC=CC(NC(=O)C2=CC=C(C)C=C2)=C1
3.163798571,O=C(NC1=CC=CC=C1)C1=CC=C(C(F)(F)F)C=C1
3.1045663789999995,CCC1=CC=C(NC(=O)C2=CC=CC=C2SC)C=C1
2.581863619,COC1=CC=C(NC(=O)C2=CC=CC(OC)=C2)C=C1
2.7403917489999996,COC1=CC=CC(C(=O)NC2=CC=CC(C)=C2)=C1
2.153027045,NC(=S)C1=CC=C(C(=O)NC2=CC=CC=C2)C=C1
2.930258537,COC1=CC=CC(C(=O)NC2=CC=CC=C2Br)=C1
3.0550704060000005,CN(C(=O)C1=CC=C(Cl)C=C1Cl)C1=CC=CC=C1
2.654959225,CC1=CC=CC=C1NC(=O)C1=CC=C(N(C)C)C=C1
3.0818188089999996,CCOC1=CC=C(C(=O)NC2=CC=CC(CC)=C2)C=C1
2.626907408,COCC1=CC=CC(NC(=O)C2=CC=CC(C)=C2)=C1
2.672812848,CC1=CC=C(C(=O)NC2=CC=C(N)C=C2Cl)C=C1
2.549245477,CCCOC1=CC=C(C(=O)NC2=CC=CC=C2N)C=C1
3.437269195,CC1=C(Br)C=CC=C1NC(=O)C1=CC=C(Cl)C=C1
3.544098714,CC1=CC(NC(=O)C2=CC=C(Cl)C=C2)=CC=C1Br
1.956067147,CSC1=CC=CC=C1C(=O)N(C)C1=CC=C(N)C=C1
2.771690402,O=C(NC1=C(F)C=CC=C1Br)C1=CC=CC(F)=C1
3.1538868680000003,CCCOC1=CC=C(NC(=O)C2=CC=CC=C2I)C=C1
2.378202832,O=C(NC1=CC=CC=C1)C1=CC=CC([N+](=O)[O-])=C1
2.574373925,COCC1=CC=CC(C(=O)NC2=CC=CC=C2I)=C1
3.04053772,O=C(NC1=CC=C(F)C=C1Cl)C1=CC=C(F)C=C1
3.1296929939999996,CCC1=CC=CC(C)=C1NC(=O)C1=CC=C(C)C=C1
3.383780102,O=C(NC1=CC=C(F)C=C1Br)C1=CC=C(Cl)C=C1
3.105002128,O=C(NC1=CC=C(I)C=C1Cl)C1=CC=C(F)C=C1
2.817344502,CCC1=CC=CC=C1NC(=O)C1=CC(C)=CC(F)=C1
2.652547539,C=CC1=CC=CC(NC(=O)C2=CC=C(OC)C=C2)=C1
3.219236852,COC1=CC=CC=C1NC(=O)C1=CC=C(C(C)C)C=C1
3.2519598889999997,CCCCOC1=CC=C(NC(=O)C2=CC=C(OC)C=C2)C=C1
3.4645128960000005,CSC1=CC=C(NC(=O)C2=CC=C(SC(C)C)C=C2)C=C1
