smiles,-logKd/Ki
O=C([O-])C1=CC(O)C(O)C(O)C1,2.92
O=C([O-])C1=CC(O)C(O)C(O)C1,2.92
O=C([O-])C1=CC(O)C(O)C(O)C1,3.05
O=C([O-])C1(O)C=CC(O)C(O)C1,3.43
O=C([O-])C1(O)C=CC(O)C(O)C1,3.7
O=C([O-])C1(O)C=CC(O)C(O)C1,3.7
O=C([O-])C1=CC(O)C(O)C(O)C1,4.36
O=C([O-])C1(O)C=CC(O)C(O)C1,4.52
CC(=O)NC1C([NH3+])C=C(CO)C(O)C1O,4.59
CCCCCCCC[NH2+]C1C=C(CO)C(O)C(O)C1O,4.77
O=C([O-])C1(O)C=C(F)C(O)C(O)C1,4.82
O=C([O-])C1(O)C=C(CCO)C(O)C(O)C1,4.82
O=C([O-])C1(O)C=C(CO)C(O)C(O)C1,4.95
CC=C(OC1=CCCC(C(=O)[O-])C1O)C(=O)[O-],4.96
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,5.75
CC(C)=CCC[NH+](C)C1CC=C(C)CC1,6.29
CC(C)=CCC[NH+](C)C1CC=C(C)CC1,6.29
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,6.31
CC(C)=CCC[NH+](C)C1CC=C(C)CC1,6.33
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,6.37
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)[O-],6.55
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)[O-],6.6
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,6.72
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,6.79
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,6.82
CC(C=CC=C(C)CCC1=C(C)CCCC1(C)C)=CC(=O)[O-],6.92
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,6.92
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,6.95
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)[O-],7.0
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,7.07
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,7.08
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,7.15
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,7.26
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,7.38
CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,7.54
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,7.59
CCC(CC)OC1C=C(C(=O)[O-])CC([NH3+])C1NC(C)=O,7.84
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,8.0
CCNC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,8.099999999999998
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)[O-],8.699999999999998
CCC(CC)OC1CC(C(=O)[O-])=CC([NH3+])C1NC(C)=O,8.82
CCC(CC)OC1CC(C(=O)[O-])=CC([NH3+])C1NC(C)=O,9.05
