smiles,-logKd/Ki
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,3.96
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.47
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.6
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,4.72
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4.83
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.9
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,5.34
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.54
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.68
O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,5.85
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.92
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.96
O=c1cc(-c2ccc(F)cc2)oc2ccccc12,5.96
Cc1ccc(-c2cc(=O)c3ccccc3o2)cc1,5.96
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,6.06
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,6.07
O=C([O-])c1ccc(-c2cc(=O)c3ccccc3o2)cc1,6.07
O=c1cc(-c2ccc(O)cc2)oc2ccccc12,6.1
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,6.11
O=c1cc(-c2ccc(F)cc2)oc2ccccc12,6.15
O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,6.19
O=c1cc(-c2cccc(O)c2)oc2cc(O)ccc12,6.21
O=c1cc(-c2ccccc2)oc2ccc(Cl)cc12,6.23
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,6.31
COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,6.35
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,6.46
O=c1cc(-c2ccc(Br)cc2)oc2ccccc12,6.5
O=c1cc(-c2cccc(O)c2)oc2ccccc12,6.51
CCOC(=O)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,6.57
O=c1cc(-c2ccc(Cl)cc2)oc2ccccc12,6.63
O=c1cc(-c2ccccc2)oc2ccc(F)cc12,6.68
O=c1cc(-c2ccc(O)c(O)c2)oc2ccccc12,6.77
COC(=O)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,6.79
N#Cc1ccc(-c2cc(=O)c3ccccc3o2)cc1,6.84
O=c1cc(-c2ccccc2)oc2ccccc12,6.85
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,7.0
COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,7.15
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,7.17
O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2ccccc12,7.18
N#CCOC(=O)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,8.15
CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,8.22
