smiles,-logKd/Ki
Nc1ncnc2c1ncn2C1OCC(O)C1O,2.44
C[NH+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,3.0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.04
Nc1ncnc2c1ncn2C1OC(CSCCC(O)CO)C(O)C1O,3.27
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.33
Nc1nc(F)nc2c1ncn2C1CC(O)C(CO)O1,3.38
Nc1ncnc2c1ncn2C1OC(CS)C(O)C1O,3.42
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.43
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,3.52
C[NH+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.0
Cc1nc2c(N)ncnc2n1C1OC(C[NH+](C)CCC[NH3+])C(O)C1O,4.15
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,4.21
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.28
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.37
C[NH+](C)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.42
CC(O)C([NH3+])C(=O)NC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,4.44
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.44
C[S+](CCC[NH3+])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.46
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.48
Nc1ncnc2c1ncn2C1OC(CO)C(NC(=O)C[NH3+])C1O,4.48
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.52
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.52
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.6
Nc1ncnc2c1ncn2C1OCC(O)C1O,4.61
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.67
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.7
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,4.74
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.74
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,4.76
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,4.82
C[S+](C)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.82
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,4.84
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.89
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,4.95
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,5.05
OCC1OC(n2cnc3cncnc32)C(O)C1O,5.05
Nc1ncnc2c1ncn2C1OC(CSC(=CC[NH3+])CCCCC[NH3+])C(O)C1O,5.07
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.09
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.1
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.16
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,5.21
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,5.25
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.27
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.27
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,5.38
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.44
Nc1ncnc2c1ncn2C1OC(CO)C(NC(=O)C([NH3+])CO)C1O,5.47
CC(C)C([NH3+])C(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,5.57
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,5.6
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.62
Nc1ncnc2c1ncn2C1OCC(O)C1O,5.68
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.7
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,5.7
CNc1nc2c(N)ncnc2n1C1OC(COCC(N)=O)C(O)C1O,5.73
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,5.85
CNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,5.92
N=CCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,5.96
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,5.96
CC(C)(C)C([NH3+])C(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,6.02
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,6.13
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,6.15
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.19
Cc1nc2c(N)ncnc2n1C1OC(C[NH+](C)C)C(O)C1O,6.22
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.22
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.22
Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C([NH3+])CO)C(O)C1O,6.35
Cc1nc2c(N)ncnc2n1C1OC(C[NH+](C)CCC(N)=O)C(O)C1O,6.4
CCC[NH2+]C(CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,6.44
Nc1ncnc2c1ncn2C1OC(CC([NH3+])CCC([NH3+])C(=O)[O-])C(O)C1O,6.47
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.49
NC(=[NH2+])NCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)CCCCCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(N)=O,6.5
C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,6.54
CNc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.54
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,6.57
Nc1ncnc2c1ncn2C1OC(CSCCC([NH3+])C(=O)[O-])C(O)C1O,6.57
Nc1ncnc2c1ncn2C1OC(CSC(CC[NH3+])CCCCC[NH3+])C(O)C1O,6.7
CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,6.7
CC(C)(C)C(O)C(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,6.9
CCCCSc1nc(N)c2ncn(C3OC(CO)C(O)C3O)c2n1,6.96
C[NH+](CCO[NH3+])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,7.26
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,7.51
Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C([NH3+])CCCC[NH3+])C(O)C1O,7.55
Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C([NH3+])CS)C(O)C1O,7.599999999999999
CC(NC(=O)CCCCCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(=O)NCCCCCC(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=[NH2+])C(N)=O,7.8
C=Cc1nc2c(N)ncnc2n1C1OC(C[NH+](C)CCCCO[NH3+])C(O)C1O,7.82
CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,7.86
Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C([NH3+])CCCC[NH3+])C(O)C1O,7.96
NC(=[NH2+])NCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)CCCCCNC(=O)C(CCCC[NH3+])NC(=O)CCCCCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O)C(N)=O,8.05
CSCCC([NH3+])C(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,8.15
Cc1nc2c(N)ncnc2n1C1OC(C[NH+](C)CCO[NH3+])C(O)C1O,8.15
