smiles,-logKd/Ki
COC(=O)C1CC([NH3+])C[NH+]1C,2.68
O=CC1CCC[NH2+]1,3.19
CCC(C)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(NC(=O)C1CCC[NH2+]1)C(C)O)C(C)CC)C(=O)[O-],3.35
O=C([O-])C(O)C(O)C(O)C(O)C[NH+]1CC(O)C(O)C1CO,3.52
C[N+]1(C)CCCC1C(=O)[O-],3.53
CC(NC(=O)C(NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)[O-])NC(=O)C1CCC[NH2+]1)C(C)C)C(C)O)C(=O)[O-],4.12
NC(=[NH2+])NCCCC(C(=O)[O-])[NH+]1C(O)CCC1C(=O)[O-],4.4
CC(NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(=O)NC(C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CO)C(=O)NC(CCCC[N+](C)(C)C)C(=O)NC(C(=O)[O-])C(C)C.CCC(NC(=O)C(C)NC(=O)C1CCC[NH2+]1)C(=O)NC(C)C(=O)NC(C=O)CCCNC(N)=[NH2+],4.54
CC(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],4.84
CC(C)C(NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(N)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCC(N)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C1CCC(O)[NH2+]1)C(C)O)C(C)O)C(=O)[O-],5.02
CC(C)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CCC(=O)[O-])NC(=O)C(NC(=O)C(NC(=O)C1CCC[NH2+]1)C(C)O)C(C)C)C(=O)NC(CC(=O)[O-])C(=O)[O-],5.3
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],5.43
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],5.7
CC(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],6.18
CC(C)CC(NC(=O)C(CC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCC[NH3+])NC(=O)C(NC(=O)C1CCC[NH2+]1)C(C)C)C(=O)NC(C=O)CCC(=O)[O-],6.3
NC(=[NH2+])NCCCC(C(=O)[O-])[NH+]1C(O)CCC1C(=O)[O-],6.3
C[N+]1(CCCC(=O)[O-])CCCC1,6.31
OCC1[NH2+]CC(O)C1O,6.4
O=C([O-])C1CCC[NH2+]1,6.6
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],6.8
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],7.12
C#CC1[NH2+]C(C)C(O)C1O,7.15
C[N+]1(C)CCCC1C(=O)[O-],7.3
COC(=O)C1CC(C(=O)[O-])[NH2+]C1C(CC(C)C)NC(C)=O,7.389999999999999
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],7.48
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],7.48
CC(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],7.889999999999999
CC(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],8.05
C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],8.15
CC(=CC=CC(C)C(=O)[O-])C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],8.25
