smiles,-logKd/Ki
[NH3+]CCc1c[nH]cn1,1.8
Nc1ncc[nH]1,2.44
Nc1ncc(CCC([NH3+])C(=O)[O-])[nH]1,2.52
CC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(NC(=O)C(CCCC[NH3+])NC(=O)C([NH3+])CCC(=O)[O-])C(C)C)C(=O)NC(CCC(N)=O)C(=O)[O-],3.1
Brc1cnc[nH]1,3.5
CC(=O)NCCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(=O)NC(C(=O)[O-])C(C)C,3.5
Nc1ncc(CC([NH3+])C(=O)[O-])[nH]1,3.52
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[N+](C)(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C([NH3+])Cc1c[nH]cn1)C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-],3.63
CCC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)[O-])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCCCNC(C)=O)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)CNC(=O)C[NH3+])C(C)C)C(=O)NC(CCC(N)=O)C(=O)[O-],3.66
CSCCC(NC(=O)C(CC(C)C)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCC[NH3+])NC(=O)C([NH3+])Cc1c[nH]cn1)C(=O)[O-],3.74
Brc1cnc[nH]1,3.77
[NH3+]CCc1cnc[nH]1,3.9
CCCC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(C)[NH3+])C(=O)NC(CCCC[NH2+]C)C(=O)NCC(=O)[O-],3.99
CC(=O)NCCCCC(NC(=O)C(C)NC(=O)C[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-],4.0
CCC(C)C(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCSC)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(C)=O)C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCSC)C(N)=O,4.08
CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])CC(=O)[O-],4.25
NC(=O)CCC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CO)NC(=O)C([NH3+])CCCC[NH3+])C(=O)NC(CCC(=O)[O-])C(=O)[O-],4.35
[NH3+]C(Cc1c[nH]cn1)C(=O)[O-],4.36
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[NH3+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)[NH3+])C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-],4.48
C[NH2+]CCCCC(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C([NH3+])CCCC[NH3+])C(=O)NC(C(=O)NC(CC(C)C)C(=O)[O-])C(C)C,4.49
CC(C)CC(NC(=O)C(CCC(=O)[O-])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(C)O)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCC(N)=O)C(=O)[O-],4.51
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[N+](C)(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C([NH3+])CCCNC(N)=[NH2+])C(C)C)C(=O)NC(C=O)CCCNC(N)=[NH2+],4.7
CC(C)CC(NC(=O)C([NH3+])Cc1c[nH]cn1)C(=O)NC(CCCC[NH3+])C(=O)NC(CO)C(=O)NC(CCCC[NH3+])C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(CCC(N)=O)C(=O)[O-],4.7
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[NH3+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)[NH3+])C(C)C)C(=O)NC(C=O)CCCNC(N)=[NH2+],4.72
CC(C)CC(NC(=O)C(CCC(=O)[O-])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(=O)[O-])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)[NH3+])C(C)O)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-],4.74
CC(=O)NCCc1c[nH]cn1,4.77
CCC(C)C(NC(=O)C([NH3+])Cc1c[nH]cn1)C(=O)NC(C)C(=O)[O-],4.89
CCC(C)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)[O-])NC(=O)C(CCC(=O)[O-])NC(=O)C(CC(=O)[O-])NC(=O)C([NH3+])CO)C(=O)[O-],5.0
CC(C)CC(NC(=O)C(NC(=O)C(CCCC[N+](C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCC[NH3+])NC(=O)C(C)NC(=O)C[NH3+])C(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CC(=O)[O-])C(=O)NC(CC(N)=O)C(=O)[O-],5.02
CC(=O)NCCCCC(NC(=O)C(C)NC(=O)C([NH3+])Cc1cnc[nH]1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(C(=O)O)C(C)C,5.04
NS(=O)(=O)c1ncc[nH]1,5.05
CC(=O)NCCCCC(NC(=O)C(C)NC(=O)CNC(=O)CNC(=O)C(CCCC[NH3+])NC(=O)CNC(=O)C(CC(C)C)NC(=O)C[NH3+])C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCC[NH3+])C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(CCCNC(N)=[NH2+])C(=O)[O-])C(C)C,5.13
CCC(C)C(NC(=O)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(CCSC)NC(=O)C(CC(C)C)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(C)[NH3+])C(C)CC)C(N)=O,5.17
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)[O-])C(C)C,5.24
CC(=O)NCCc1c[nH]cn1,5.24
C[NH+](C)C(Cc1c[nH]cn1)C(=O)[O-],5.4
CCC(C)C(NC(=O)C(CCC(=O)[O-])NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(NC(=O)C(CO)NC(C)=O)C(C)O)C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCCC[NH3+])C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O,5.7
C[NH+](C)C(Cc1c[nH]cn1)C(=O)[O-],5.7
