smiles,gsk3
CCN(CC)C(=O)Oc1ccc(Cl)c2ccccc12,0
OCCN(CCO)c1ccc2ccccc2c1,0
CN(C)Cc1c(O)ccc2ccccc12,0
CCNC(=O)NC(=O)CSc1ccc2ccccc2c1,0
O=C(O)CCNc1cc2ccccc2cc1C(=O)O,0
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,0
CSCCC(NC(=O)COc1cccc2ccccc12)C(=O)O,0
CSCCC(NS(=O)(=O)c1ccc2ccccc2c1)C(=O)O,0
O=C(CSCCO)Nc1cccc2ccccc12,0
CCOc1ccc2ccccc2c1C=NNC(=O)OC,0
CC(C)(C)C(=O)NNC(=O)COc1ccc2ccccc2c1Br,0
CC(=CC(=O)O)C(=Cc1cccc2ccccc12)C(=O)O,0
O=C(O)CCCNc1c([N+](=O)[O-])cc([N+](=O)[O-])c2ccccc12,0
CNC(=O)Oc1cccc2ccccc12,0
COCC(C)NCc1cccc2ccccc12,0
CCCCNc1cc(NC(C)=O)cc2cc(OC)c(OC)cc12,0
CC(C)(C)CC(C)(C)NC(=O)CSCC(=O)Nc1ccc2ccccc2c1,0
CCN(CC)S(=O)(=O)c1cccc2cc(C(=O)O)c(O)cc12,0
COC(=O)CC(N)c1ccc(OC)c2ccccc12,0
O=C(O)C=CS(=O)(=O)c1ccc2ccccc2c1,0
N#Cc1c(C#N)c(O)c2ccccc2c1O,0
CC(=O)Nc1ccc2ccccc2c1,0
CC(C)CC(=O)Nc1ccc2ccccc2c1,0
CN(C)C(=O)Oc1cccc2c(OC(=O)N(C)C)cccc12,0
CC(O)CNCc1cccc2ccccc12,0
CN(C)c1ccc(N)c2ccccc12,1
COCCCNC(=S)NN=Cc1ccc2ccccc2c1,0
C=CCNS(=O)(=O)c1cccc2cc(C(=O)O)c(O)cc12,0
CCC(=O)NN=C(C)CC(=O)Nc1ccc2ccccc2c1,0
CN(C)c1cccc2c(C#N)ccc(N(C)C)c12,0
CCN(CC)C(=O)COc1cccc2ccccc12,0
