smiles,gsk3
COC(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1,0
CSc1nc2ccc(S(N)(=O)=O)cc2s1,0
COC(=O)CSc1nc2ccc(NC(C)=O)cc2s1,0
Nc1nc2c(F)c(F)c(F)cc2s1,0
CC(OC(=O)CCCSc1nc2ccccc2s1)C(=O)NC(N)=O,0
CC(C)c1ccc2nc(N)sc2c1,0
COc1cc([N+](=O)[O-])c2ncsc2c1,0
COCCNC(=O)c1nc2ccccc2s1,0
CCNC(=O)NC(=O)C(C)OC(=O)CCCSc1nc2ccccc2s1,0
CCOC(=O)C(=O)Cc1nc2ccccc2s1,0
CCOCC(=O)Nc1nc2ccccc2s1,0
COc1ccc2nc(N=CN(C)C)sc2c1,0
COC(=O)N(C)c1nc2ccccc2s1,0
NNc1nc2c(Cl)c(Cl)ccc2s1,0
Cc1nc2ccc(CCO)cc2s1,0
CC(=O)NC(=O)COC(=O)c1ccc2ncsc2c1,0
O=C(O)CCC(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1,0
COc1ccc2nc(NC(=S)N(C)C)sc2c1,0
CCOc1ccc2nc(N=S(C)(=O)O)sc2c1,0
CC=S(O)(O)=CCSc1nc2ccccc2s1,0
Cc1nc2ccc(P(=O)(O)O)cc2s1,0
CCOc1cccc2sc(Cl)nc12,0
CCC(=O)NNc1nc2c(C)c(C)ccc2s1,0
CCC(=O)NNc1nc2c(F)cccc2s1,0
Cc1nc2ccc(NC(=O)NCCO)cc2s1,0
Cc1cc2nc(N)sc2cc1[N+](=O)[O-],0
O=C(O)CCSc1nc2ccccc2s1,0
O=C(NCCO)c1nc2ccccc2s1,0
O=CC(O)CNNc1nc2ccccc2s1,0
CC=S(O)CCSc1nc2ccccc2s1,0
CC(=O)OCc1nc2ccccc2s1,0
C=CCN(CC=C)C(=O)Nc1ccc2nc(C)sc2c1,0
CNC(=O)NC(=O)COC(=O)CCCSc1nc2ccccc2s1,0
CCCC(=O)Nc1nc2c(C)c(Cl)ccc2s1,0
O=C(NCCCO)c1nc2ccccc2s1,0
CCC(=O)NNc1nc2c(F)cc(F)cc2s1,0
COc1ccc2sc(NC(=O)CC(C)C)nc2c1,0
COC(=O)C(NC(C)=O)(Nc1nc2ccc(S(C)(=O)=O)cc2s1)C(F)(F)F,0
